"Year","Month","COUNTY","Date","NO2","O3","PM2.5"
2013,1,"Imperial",2013-01-01,31.8333333333333,33,33.1666666666667
2013,1,"Los Angeles",2013-01-01,34.8125,25.6511627906977,41.3191489361702
2013,1,"Marin",2013-01-01,25.6666666666667,27.75,50.5
2013,1,"San Bernardino",2013-01-01,29,32.4594594594595,29.1111111111111
2013,1,"San Francisco",2013-01-01,32,18.6666666666667,50.3333333333333
2013,1,"San Mateo",2013-01-01,32,13,42.75
2013,1,"Santa Clara",2013-01-01,32.5714285714286,14.8333333333333,43
2013,1,"Stanislaus",2013-01-01,31.6666666666667,17.6,86.125
2013,1,"Calaveras",2013-01-01,NA,24,36.6666666666667
2013,2,"Imperial",2013-02-01,23.8333333333333,36.5,19.5
2013,2,"Los Angeles",2013-02-01,32.4666666666667,33.575,44.6388888888889
2013,2,"Marin",2013-02-01,28.3333333333333,31.6666666666667,45.5
2013,2,"San Bernardino",2013-02-01,25.375,37.8484848484849,30.5714285714286
2013,2,"San Francisco",2013-02-01,38.6666666666667,27.3333333333333,36.6666666666667
2013,2,"San Mateo",2013-02-01,31.3333333333333,25.6666666666667,39.3333333333333
2013,2,"Santa Clara",2013-02-01,28.1666666666667,30,39.6666666666667
2013,2,"Stanislaus",2013-02-01,27.5,30,62.8333333333333
2013,2,"Calaveras",2013-02-01,NA,34,47
2013,3,"Imperial",2013-03-01,28.1666666666667,48.4,32.3333333333333
2013,3,"Los Angeles",2013-03-01,28.2307692307692,43.695652173913,50.7111111111111
2013,3,"Marin",2013-03-01,18.75,31.6666666666667,34.75
2013,3,"San Bernardino",2013-03-01,30.4,47.7631578947368,44.0833333333333
2013,3,"San Francisco",2013-03-01,32.75,25.25,25.25
2013,3,"San Mateo",2013-03-01,25.3333333333333,27,27.6666666666667
2013,3,"Santa Clara",2013-03-01,18.2857142857143,37,34.6923076923077
2013,3,"Stanislaus",2013-03-01,21,49.5,28.5
2013,3,"Calaveras",2013-03-01,NA,35,34.75
2013,4,"Imperial",2013-04-01,19.125,55.9090909090909,44.5
2013,4,"Los Angeles",2013-04-01,19.9736842105263,46.4090909090909,42
2013,4,"Marin",2013-04-01,19,37,38
2013,4,"San Bernardino",2013-04-01,18.95,54.8461538461538,46.8
2013,4,"San Francisco",2013-04-01,16.3333333333333,37,58.6666666666667
2013,4,"San Mateo",2013-04-01,20,39.3333333333333,44.6666666666667
2013,4,"Santa Clara",2013-04-01,16,41.25,30.6363636363636
2013,4,"Stanislaus",2013-04-01,11.6666666666667,44.3333333333333,30.3333333333333
2013,4,"Calaveras",2013-04-01,NA,36.6666666666667,25.5
2013,5,"Imperial",2013-05-01,24.6666666666667,74.2,42.8
2013,5,"Los Angeles",2013-05-01,22.4871794871795,60.5,49.9782608695652
2013,5,"Marin",2013-05-01,10.3333333333333,40,35
2013,5,"San Bernardino",2013-05-01,24.8421052631579,88.7317073170732,47.6
2013,5,"San Francisco",2013-05-01,18.5,30.75,21.3333333333333
2013,5,"San Mateo",2013-05-01,12.3333333333333,37.6666666666667,30
2013,5,"Santa Clara",2013-05-01,15.8333333333333,47.1176470588235,39.6153846153846
2013,5,"Stanislaus",2013-05-01,14.3333333333333,59.1428571428571,29.8888888888889
2013,5,"Calaveras",2013-05-01,NA,48.25,27.25
2013,6,"Imperial",2013-06-01,15.7142857142857,81,50.5
2013,6,"Los Angeles",2013-06-01,20.0652173913043,52.4444444444444,47.9761904761905
2013,6,"Marin",2013-06-01,11,20.3333333333333,29.25
2013,6,"San Bernardino",2013-06-01,24.8421052631579,99.0277777777778,42.2142857142857
2013,6,"San Francisco",2013-06-01,6,19.6666666666667,26.6666666666667
2013,6,"San Mateo",2013-06-01,13.5,26.25,24.3333333333333
2013,6,"Santa Clara",2013-06-01,12.4285714285714,33,25.3333333333333
2013,6,"Stanislaus",2013-06-01,13.25,67,22
2013,6,"Calaveras",2013-06-01,NA,47.6666666666667,29.6666666666667
2013,7,"Imperial",2013-07-01,13.7142857142857,50,46.5
2013,7,"Los Angeles",2013-07-01,22.2916666666667,50.9795918367347,52.8125
2013,7,"Marin",2013-07-01,8.33333333333333,29,32.6
2013,7,"San Bernardino",2013-07-01,26.7777777777778,97.5128205128205,48.1538461538462
2013,7,"San Francisco",2013-07-01,12,23.3333333333333,49
2013,7,"San Mateo",2013-07-01,10,25.6666666666667,52
2013,7,"Santa Clara",2013-07-01,10.7142857142857,34.2941176470588,35.5454545454545
2013,7,"Stanislaus",2013-07-01,12,92.4285714285714,43.625
2013,7,"Calaveras",2013-07-01,NA,78.25,37.3333333333333
2013,8,"Imperial",2013-08-01,17.1666666666667,49,32.3333333333333
2013,8,"Los Angeles",2013-08-01,24.6122448979592,55.2040816326531,47.2820512820513
2013,8,"Marin",2013-08-01,9,19.3333333333333,34.2
2013,8,"San Bernardino",2013-08-01,30.2222222222222,80.7380952380952,44.9333333333333
2013,8,"San Francisco",2013-08-01,8,18.5,39
2013,8,"San Mateo",2013-08-01,13.3333333333333,22.5,27
2013,8,"Santa Clara",2013-08-01,13.8571428571429,27.25,28.9230769230769
2013,8,"Stanislaus",2013-08-01,15,56.1666666666667,25.375
2013,8,"Calaveras",2013-08-01,NA,36.3333333333333,36
2013,9,"Imperial",2013-09-01,29.1428571428571,54.1,32.4
2013,9,"Los Angeles",2013-09-01,25.9,55.695652173913,41.0425531914894
2013,9,"Marin",2013-09-01,16,24.6666666666667,32.75
2013,9,"San Bernardino",2013-09-01,30.4444444444444,73.9117647058823,34
2013,9,"San Francisco",2013-09-01,10.75,28,33
2013,9,"San Mateo",2013-09-01,17,30.3333333333333,29.5
2013,9,"Santa Clara",2013-09-01,18.1666666666667,33.4210526315789,27.6363636363636
2013,9,"Stanislaus",2013-09-01,12.3333333333333,48.1666666666667,22
2013,9,"Calaveras",2013-09-01,NA,49,33.6666666666667
2013,10,"Imperial",2013-10-01,19.8571428571429,42.1428571428571,38.5
2013,10,"Los Angeles",2013-10-01,33.5853658536585,44.7272727272727,48.3255813953488
2013,10,"Marin",2013-10-01,39,25,42.6666666666667
2013,10,"San Bernardino",2013-10-01,32.9444444444444,48.8857142857143,42.0625
2013,10,"San Francisco",2013-10-01,39.6666666666667,21.5,51.3333333333333
2013,10,"San Mateo",2013-10-01,40.6666666666667,36,50.3333333333333
2013,10,"Santa Clara",2013-10-01,27.2857142857143,37.9375,45.0833333333333
2013,10,"Stanislaus",2013-10-01,25,48.7142857142857,54
2013,10,"Calaveras",2013-10-01,NA,42,31.5
2013,11,"Imperial",2013-11-01,29.2,32.6,32.75
2013,11,"Los Angeles",2013-11-01,33.9555555555556,32.05,44.8636363636364
2013,11,"Marin",2013-11-01,24.75,31.6666666666667,45.8
2013,11,"San Bernardino",2013-11-01,29.3157894736842,34.8529411764706,43.4545454545455
2013,11,"San Francisco",2013-11-01,44,20.6666666666667,51
2013,11,"San Mateo",2013-11-01,31.75,24,64.3333333333333
2013,11,"Santa Clara",2013-11-01,28.6666666666667,27.8666666666667,42.5833333333333
2013,11,"Stanislaus",2013-11-01,35.6666666666667,29.4,90.1428571428571
2013,11,"Calaveras",2013-11-01,NA,32.6666666666667,46.6666666666667
2013,12,"Imperial",2013-12-01,34.625,32.3333333333333,42.25
2013,12,"Los Angeles",2013-12-01,36.75,26.2926829268293,46.925
2013,12,"Marin",2013-12-01,38.6666666666667,20.6666666666667,63.75
2013,12,"San Bernardino",2013-12-01,35.3333333333333,31.4848484848485,35.0833333333333
2013,12,"San Francisco",2013-12-01,39,19.3333333333333,76
2013,12,"San Mateo",2013-12-01,36,15.6666666666667,69.3333333333333
2013,12,"Santa Clara",2013-12-01,34.4285714285714,21.25,64.4615384615385
2013,12,"Stanislaus",2013-12-01,33.25,21.3333333333333,125.625
2013,12,"Calaveras",2013-12-01,NA,26.6666666666667,61.3333333333333
2014,1,"Imperial",2014-01-01,33.7142857142857,31.4545454545455,65.1666666666667
2014,1,"Los Angeles",2014-01-01,44.8095238095238,25.6458333333333,60.5897435897436
2014,1,"Marin",2014-01-01,40.3333333333333,21.5,49.75
2014,1,"San Bernardino",2014-01-01,39.2631578947368,31.0833333333333,50.6153846153846
2014,1,"San Francisco",2014-01-01,40,15.5,40.5
2014,1,"San Mateo",2014-01-01,34,19.5,52.6666666666667
2014,1,"Santa Clara",2014-01-01,37.6666666666667,17.6666666666667,58.5
2014,1,"Stanislaus",2014-01-01,30,27.6,88.875
2014,1,"Calaveras",2014-01-01,NA,30.6666666666667,47.5
2014,2,"Imperial",2014-02-01,31,37.625,74
2014,2,"Los Angeles",2014-02-01,31.1219512195122,32.675,49.8
2014,2,"Marin",2014-02-01,23.6666666666667,24.6666666666667,31
2014,2,"San Bernardino",2014-02-01,30,36.6363636363636,38.7142857142857
2014,2,"San Francisco",2014-02-01,25.25,22.6666666666667,18
2014,2,"San Mateo",2014-02-01,13,29.6666666666667,31.6666666666667
2014,2,"Santa Clara",2014-02-01,24.6666666666667,25.3333333333333,21.75
2014,2,"Stanislaus",2014-02-01,20,29.2,36
2014,2,"Calaveras",2014-02-01,NA,28,41
2014,3,"Imperial",2014-03-01,19.25,48.5714285714286,39.625
2014,3,"Los Angeles",2014-03-01,26.0217391304348,42.8222222222222,45.4516129032258
2014,3,"Marin",2014-03-01,25,28,35
2014,3,"San Bernardino",2014-03-01,26.8,47.7027027027027,36.2307692307692
2014,3,"San Francisco",2014-03-01,30.6666666666667,26.3333333333333,29
2014,3,"San Mateo",2014-03-01,22.6666666666667,32.3333333333333,23.25
2014,3,"Santa Clara",2014-03-01,24,31.6666666666667,30.125
2014,3,"Stanislaus",2014-03-01,17.3333333333333,44.1666666666667,38
2014,3,"Calaveras",2014-03-01,NA,38.25,21.5
2014,4,"Imperial",2014-04-01,16.1666666666667,53.0909090909091,51.9230769230769
2014,4,"Los Angeles",2014-04-01,24.2926829268293,49.9772727272727,38.21875
2014,4,"Marin",2014-04-01,12.3333333333333,39.5,40
2014,4,"San Bernardino",2014-04-01,24.6111111111111,64,37.1111111111111
2014,4,"San Francisco",2014-04-01,23,32.25,27.6666666666667
2014,4,"San Mateo",2014-04-01,18,37.6666666666667,27.3333333333333
2014,4,"Santa Clara",2014-04-01,19.5,43.8461538461538,28.5555555555556
2014,4,"Stanislaus",2014-04-01,14,51.5714285714286,34.25
2014,4,"Calaveras",2014-04-01,NA,41.3333333333333,29.6666666666667
2014,5,"Imperial",2014-05-01,19.5,64.8,60.6666666666667
2014,5,"Los Angeles",2014-05-01,25.1428571428571,63.2954545454545,54
2014,5,"Marin",2014-05-01,19,33.6666666666667,35.5
2014,5,"San Bernardino",2014-05-01,25.45,82.4146341463415,42.25
2014,5,"San Francisco",2014-05-01,14.5,32.6666666666667,22
2014,5,"San Mateo",2014-05-01,17.75,35,24
2014,5,"Santa Clara",2014-05-01,15,46.4615384615385,31.6666666666667
2014,5,"Stanislaus",2014-05-01,16,72,17
2014,5,"Calaveras",2014-05-01,NA,54.75,33.25
2014,6,"Imperial",2014-06-01,15.1666666666667,81,54.9166666666667
2014,6,"Los Angeles",2014-06-01,17,65.2558139534884,57.7272727272727
2014,6,"Marin",2014-06-01,10.5,27.6666666666667,31.5
2014,6,"San Bernardino",2014-06-01,25.9473684210526,107.342857142857,54.6
2014,6,"San Francisco",2014-06-01,17,24.75,36
2014,6,"San Mateo",2014-06-01,10.3333333333333,25.6666666666667,25.75
2014,6,"Santa Clara",2014-06-01,14.75,34.5714285714286,33
2014,6,"Stanislaus",2014-06-01,18.5,87.3333333333333,35.125
2014,6,"Calaveras",2014-06-01,NA,46.6666666666667,25
2014,7,"Imperial",2014-07-01,10.2857142857143,49.5,42.2857142857143
2014,7,"Los Angeles",2014-07-01,18.1,53.2857142857143,55.9
2014,7,"Marin",2014-07-01,7.66666666666667,22,38
2014,7,"San Bernardino",2014-07-01,25.1578947368421,85.7857142857143,43.8181818181818
2014,7,"San Francisco",2014-07-01,12.3333333333333,18,20.5
2014,7,"San Mateo",2014-07-01,11,23.25,21.3333333333333
2014,7,"Santa Clara",2014-07-01,10.6666666666667,32.8461538461538,29.1111111111111
2014,7,"Stanislaus",2014-07-01,14.3333333333333,81.4285714285714,25.5555555555556
2014,7,"Calaveras",2014-07-01,NA,70,38
2014,8,"Imperial",2014-08-01,14.8571428571429,46.7777777777778,45.6666666666667
2014,8,"Los Angeles",2014-08-01,21.093023255814,54.953488372093,45.1666666666667
2014,8,"Marin",2014-08-01,9.66666666666667,25,35.25
2014,8,"San Bernardino",2014-08-01,22.6666666666667,81.35,39.8888888888889
2014,8,"San Francisco",2014-08-01,8.25,20.3333333333333,30
2014,8,"San Mateo",2014-08-01,10.6666666666667,24.6666666666667,24
2014,8,"Santa Clara",2014-08-01,15,33.7333333333333,25.9
2014,8,"Stanislaus",2014-08-01,13.3333333333333,66,37.8333333333333
2014,8,"Calaveras",2014-08-01,NA,54.5,34.5
2014,9,"Imperial",2014-09-01,23,44.2857142857143,38.6666666666667
2014,9,"Los Angeles",2014-09-01,24.8780487804878,54.6666666666667,49.9545454545455
2014,9,"Marin",2014-09-01,14.5,25.5,43.75
2014,9,"San Bernardino",2014-09-01,28,75.7692307692308,41.6363636363636
2014,9,"San Francisco",2014-09-01,14.3333333333333,25.25,38
2014,9,"San Mateo",2014-09-01,16.6666666666667,35.3333333333333,39
2014,9,"Santa Clara",2014-09-01,19,36.4166666666667,35.4444444444444
2014,9,"Stanislaus",2014-09-01,25.25,59.5,36.25
2014,9,"Calaveras",2014-09-01,NA,51.3333333333333,32.5
2014,10,"Imperial",2014-10-01,33.75,52.4166666666667,44.5714285714286
2014,10,"Los Angeles",2014-10-01,32.025,59.6829268292683,50.6470588235294
2014,10,"Marin",2014-10-01,16.6666666666667,26.6666666666667,34
2014,10,"San Bernardino",2014-10-01,32.9545454545455,58.7380952380952,36.1
2014,10,"San Francisco",2014-10-01,34.6666666666667,30,30.3333333333333
2014,10,"San Mateo",2014-10-01,29.25,38.5,25.5
2014,10,"Santa Clara",2014-10-01,28.8333333333333,41.2857142857143,29.4166666666667
2014,10,"Stanislaus",2014-10-01,21,37,24.25
2014,10,"Calaveras",2014-10-01,NA,39,24
2014,11,"Imperial",2014-11-01,29,37.2222222222222,42
2014,11,"Los Angeles",2014-11-01,32,36.05,42.2857142857143
2014,11,"Marin",2014-11-01,27.6666666666667,27.6666666666667,39.75
2014,11,"San Bernardino",2014-11-01,35.1111111111111,39.3636363636364,44
2014,11,"San Francisco",2014-11-01,25.75,28,30.75
2014,11,"San Mateo",2014-11-01,37.6666666666667,25.3333333333333,29.3333333333333
2014,11,"Santa Clara",2014-11-01,29.4285714285714,27.2307692307692,41.1111111111111
2014,11,"Stanislaus",2014-11-01,23,25.75,71
2014,11,"Calaveras",2014-11-01,NA,27.6666666666667,34.6666666666667
2014,12,"Imperial",2014-12-01,21.1428571428571,29.5555555555556,63.125
2014,12,"Los Angeles",2014-12-01,29.7608695652174,25.9473684210526,51.0689655172414
2014,12,"Marin",2014-12-01,21.5,27.5,40.5
2014,12,"San Bernardino",2014-12-01,26.3529411764706,30.625,36.3636363636364
2014,12,"San Francisco",2014-12-01,33.3333333333333,25,37.3333333333333
2014,12,"San Mateo",2014-12-01,19.6666666666667,22,15.3333333333333
2014,12,"Santa Clara",2014-12-01,29,21.25,25
2014,12,"Stanislaus",2014-12-01,10.75,26.25,39.625
2014,12,"Calaveras",2014-12-01,NA,27.5,23.6666666666667
2015,1,"Imperial",2015-01-01,28.5,27.8888888888889,41.2
2015,1,"Los Angeles",2015-01-01,33.25,25.2105263157895,44.6969696969697
2015,1,"Marin",2015-01-01,33,17.25,92.3333333333333
2015,1,"San Bernardino",2015-01-01,33.7272727272727,27.9090909090909,45.9333333333333
2015,1,"San Francisco",2015-01-01,37,9,58.5
2015,1,"San Mateo",2015-01-01,28.5,20.25,58
2015,1,"Santa Clara",2015-01-01,32.4285714285714,13.6666666666667,62.4166666666667
2015,1,"Stanislaus",2015-01-01,19.6666666666667,13,86.3333333333333
2015,1,"Calaveras",2015-01-01,NA,19.3333333333333,48.5
2015,2,"Imperial",2015-02-01,31.1666666666667,37.5555555555556,40.3076923076923
2015,2,"Los Angeles",2015-02-01,32.4864864864865,37.8108108108108,56.5428571428571
2015,2,"Marin",2015-02-01,22.75,29.6666666666667,55.75
2015,2,"San Bernardino",2015-02-01,31.5714285714286,38.1290322580645,50.5833333333333
2015,2,"San Francisco",2015-02-01,28.5,22,39.3333333333333
2015,2,"San Mateo",2015-02-01,20,28,41.3333333333333
2015,2,"Santa Clara",2015-02-01,26.1666666666667,29.3333333333333,37.3
2015,2,"Stanislaus",2015-02-01,21,27.6666666666667,53.25
2015,2,"Calaveras",2015-02-01,NA,27,23.3333333333333
2015,3,"Imperial",2015-03-01,26.625,50.2727272727273,34.5714285714286
2015,3,"Los Angeles",2015-03-01,28.7674418604651,51.0487804878049,45.5384615384615
2015,3,"Marin",2015-03-01,18.6666666666667,34.6666666666667,41.5
2015,3,"San Bernardino",2015-03-01,35.88,55.2432432432432,30.8333333333333
2015,3,"San Francisco",2015-03-01,23.6666666666667,32.25,29.3333333333333
2015,3,"San Mateo",2015-03-01,24,33.25,24.25
2015,3,"Santa Clara",2015-03-01,26.8333333333333,40.3333333333333,31.7272727272727
2015,3,"Stanislaus",2015-03-01,24.6666666666667,42.8571428571429,29.375
2015,3,"Calaveras",2015-03-01,NA,41,18.3333333333333
2015,4,"Imperial",2015-04-01,9.83333333333333,54.7777777777778,41.5384615384615
2015,4,"Los Angeles",2015-04-01,27.8666666666667,65.3571428571429,40.4166666666667
2015,4,"Marin",2015-04-01,13,43,25
2015,4,"San Bernardino",2015-04-01,25.15,77.3684210526316,36.7058823529412
2015,4,"San Francisco",2015-04-01,16.3333333333333,40.6666666666667,35.5
2015,4,"San Mateo",2015-04-01,18.6666666666667,34,4.33333333333333
2015,4,"Santa Clara",2015-04-01,22.5,47.2666666666667,28.3636363636364
2015,4,"Stanislaus",2015-04-01,7.5,56.8333333333333,19.4285714285714
2015,4,"Calaveras",2015-04-01,NA,44.6666666666667,18
2015,5,"Imperial",2015-05-01,11.75,57.6,36.9166666666667
2015,5,"Los Angeles",2015-05-01,18.3829787234043,53.7380952380952,45.1951219512195
2015,5,"Marin",2015-05-01,8.5,30.3333333333333,19.5
2015,5,"San Bernardino",2015-05-01,19.4736842105263,60.1944444444444,42
2015,5,"San Francisco",2015-05-01,7.5,37,24
2015,5,"San Mateo",2015-05-01,14.5,33.6666666666667,10.75
2015,5,"Santa Clara",2015-05-01,16.5714285714286,35.6666666666667,27
2015,5,"Stanislaus",2015-05-01,16,58,21.5714285714286
2015,5,"Calaveras",2015-05-01,NA,51,17
2015,6,"Imperial",2015-06-01,24.75,62.9090909090909,46.6923076923077
2015,6,"Los Angeles",2015-06-01,22.3,73.9512195121951,49.9714285714286
2015,6,"Marin",2015-06-01,14.3333333333333,28,36.75
2015,6,"San Bernardino",2015-06-01,29.9130434782609,99.2439024390244,49.5625
2015,6,"San Francisco",2015-06-01,9.33333333333333,22.3333333333333,28.6666666666667
2015,6,"San Mateo",2015-06-01,8.33333333333333,30.25,11.3333333333333
2015,6,"Santa Clara",2015-06-01,19.5714285714286,40.0769230769231,27
2015,6,"Stanislaus",2015-06-01,17.3333333333333,97.8571428571429,30.4285714285714
2015,6,"Calaveras",2015-06-01,NA,114,20.6666666666667
2015,7,"Imperial",2015-07-01,13.4285714285714,39.7692307692308,38.6363636363636
