"Year","County","Mean.Incidence.Adults"
2013,"Alameda",55.5065217391304
2013,"Amador",78.2333333333333
2013,"Butte",46.1
2013,"Calaveras",89.25
2013,"Colusa",42.6
2013,"Contra Costa",48.6944444444444
2013,"Del Norte",43.4
2013,"El Dorado",48.5857142857143
2013,"Fresno",55.6027777777778
2013,"Glenn",48.5
2013,"Humboldt",70.55
2013,"Imperial",49.8142857142857
2013,"Inyo",34.3
2013,"Kern",48.0875
2013,"Kings",80.36
2013,"Lake",88.0428571428571
2013,"Lassen",25.6
2013,"Los Angeles",38.7387596899225
2013,"Madera",31.15
2013,"Marin",25.5272727272727
2013,"Mariposa",55.4
2013,"Mendocino",60.975
2013,"Merced",69.8363636363636
2013,"Modoc",70
2013,"Mono",36.4
2013,"Monterey",36.3428571428571
2013,"Napa",36.7
2013,"Nevada",36.08
2013,"Orange",24.5679487179487
2013,"Placer",29.3
2013,"Plumas",52.6
2013,"Riverside",35.1622950819672
2013,"Sacramento",62.2386363636364
2013,"San Benito",46.8
2013,"San Bernardino",57.3745454545455
2013,"San Diego",28.5378378378378
2013,"San Francisco",37.4772727272727
2013,"San Joaquin",64.1458333333333
2013,"San Luis Obispo",29.4818181818182
2013,"San Mateo",31.85
2013,"Santa Barbara",27.675
2013,"Santa Clara",26.7916666666667
2013,"Santa Cruz",29.8818181818182
2013,"Shasta",41.9333333333333
2013,"Siskiyou",49.825
2013,"Solano",68.4272727272727
2013,"Sonoma",36.5176470588235
2013,"Stanislaus",46.2894736842105
2013,"Sutter",29.4333333333333
2013,"Tehama",59.65
2013,"Trinity",67.7
2013,"Tulare",41.55625
2013,"Tuolumne",43.6333333333333
2013,"Ventura",27.7380952380952
2013,"Yolo",35.7142857142857
2013,"Yuba",53.85
2014,"Alameda",53.6522727272727
2014,"Amador",58.6333333333333
2014,"Butte",42.8
2014,"Calaveras",64.05
2014,"Colusa",56.2
2014,"Contra Costa",46.0058823529412
2014,"Del Norte",38.5
2014,"El Dorado",42.1285714285714
2014,"Fresno",50.5914285714286
2014,"Glenn",36.25
2014,"Humboldt",67.3142857142857
2014,"Imperial",56.325
2014,"Inyo",34.6
2014,"Kern",54.8041666666667
2014,"Kings",66.9
2014,"Lake",88.3
2014,"Lassen",21
2014,"Los Angeles",38.5786821705426
2014,"Madera",30.1833333333333
2014,"Marin",20.96
2014,"Mariposa",39.5
2014,"Mendocino",57.275
2014,"Merced",68.275
2014,"Modoc",100.4
2014,"Mono",41
2014,"Monterey",38.2357142857143
2014,"Napa",39.2
2014,"Nevada",47.1
2014,"Orange",23.1473684210526
2014,"Placer",27.5333333333333
2014,"Plumas",32.85
2014,"Riverside",36.3901639344262
2014,"Sacramento",63.2651162790698
2014,"San Benito",47.2
2014,"San Bernardino",56.9563636363636
2014,"San Diego",27.4465753424658
2014,"San Francisco",33.7434782608696
2014,"San Joaquin",60.3166666666667
2014,"San Luis Obispo",28.6083333333333
2014,"San Mateo",30.4052631578947
2014,"Santa Barbara",26.4571428571429
2014,"Santa Clara",25.1375
2014,"Santa Cruz",24.9727272727273
2014,"Shasta",57.0285714285714
2014,"Siskiyou",54
2014,"Solano",67.7181818181818
2014,"Sonoma",33.7176470588235
2014,"Stanislaus",49.6944444444444
2014,"Sutter",35
2014,"Tehama",64.7333333333333
2014,"Trinity",86.15
2014,"Tulare",37.0666666666667
2014,"Tuolumne",39.6
2014,"Ventura",25.575
2014,"Yolo",40.3428571428571
2014,"Yuba",50.7
2015,"Alameda",54.6604651162791
2015,"Amador",53.98
2015,"Butte",49.4777777777778
2015,"Calaveras",85.1
2015,"Colusa",38.25
2015,"Contra Costa",54.9060606060606
2015,"Del Norte",47.3
2015,"El Dorado",32.64
2015,"Fresno",58.4382352941176
2015,"Glenn",47.55
2015,"Humboldt",65.2833333333333
2015,"Imperial",52.825
2015,"Inyo",37.4
2015,"Kern",56.44
2015,"Kings",66.75
2015,"Lake",78.95
2015,"Lassen",79.35
2015,"Los Angeles",40.2022988505747
2015,"Madera",32.9666666666667
2015,"Marin",22.2
2015,"Mariposa",72.8
2015,"Mendocino",54.375
2015,"Merced",63.5833333333333
2015,"Modoc",64.3
2015,"Mono",35
2015,"Monterey",40.7714285714286
2015,"Napa",39.12
2015,"Nevada",44.9
2015,"Orange",24.8038461538462
2015,"Placer",34.3
2015,"Plumas",77.0333333333333
2015,"Riverside",39.6637931034483
2015,"Sacramento",66.0909090909091
2015,"San Benito",37.9
2015,"San Bernardino",55.6150943396226
2015,"San Diego",28.9040540540541
2015,"San Francisco",32.2090909090909
2015,"San Joaquin",61.588
2015,"San Luis Obispo",33.1666666666667
2015,"San Mateo",33.3789473684211
2015,"Santa Barbara",33.1333333333333
2015,"Santa Clara",30.4404255319149
2015,"Santa Cruz",27.625
2015,"Shasta",45.9875
2015,"Siskiyou",50.25
2015,"Solano",64.07
2015,"Sonoma",37.1235294117647
2015,"Stanislaus",48.6210526315789
2015,"Sutter",29.8666666666667
2015,"Tehama",49.7666666666667
2015,"Trinity",72.5
2015,"Tulare",39.0866666666667
2015,"Tuolumne",59.3
2015,"Ventura",27.0095238095238
2015,"Yolo",40.8714285714286
2015,"Yuba",45.4
2016,"Alameda",44.3108695652174
2016,"Amador",58.85
2016,"Butte",35.15
2016,"Calaveras",86.45
2016,"Colusa",22.85
2016,"Contra Costa",43.7470588235294
2016,"Del Norte",52.1
2016,"El Dorado",44.2285714285714
2016,"Fresno",42.8
2016,"Glenn",35.75
2016,"Humboldt",83.6375
2016,"Imperial",43
2016,"Inyo",29.4
2016,"Kern",50.4076923076923
2016,"Kings",55.32
2016,"Lake",75.1777777777778
2016,"Lassen",47.3
2016,"Los Angeles",37.4403100775194
2016,"Madera",32.72
2016,"Marin",22.8
2016,"Mariposa",41.4
2016,"Mendocino",60.3
2016,"Merced",55.775
2016,"Modoc",100.8
2016,"Mono",21.7
2016,"Monterey",38.14
2016,"Napa",29.95
2016,"Nevada",29
2016,"Orange",20.2684931506849
2016,"Placer",29.0181818181818
2016,"Plumas",72.55
2016,"Riverside",34.9032786885246
2016,"Sacramento",57.4023255813953
2016,"San Benito",36.9
2016,"San Bernardino",54.6767857142857
2016,"San Diego",24.3837837837838
2016,"San Francisco",46.6
2016,"San Joaquin",56.236
2016,"San Luis Obispo",31.6916666666667
2016,"San Mateo",30.3631578947368
2016,"Santa Barbara",30.0466666666667
2016,"Santa Clara",41.7608695652174
2016,"Santa Cruz",23.0272727272727
2016,"Shasta",35.1142857142857
2016,"Siskiyou",46.15
2016,"Solano",70.6727272727273
2016,"Sonoma",28.8125
2016,"Stanislaus",42.0941176470588
2016,"Sutter",26.8666666666667
2016,"Tehama",59.6
2016,"Tulare",32.5785714285714
2016,"Tuolumne",64.1666666666667
2016,"Ventura",27.0666666666667
2016,"Yolo",30.9285714285714
2016,"Yuba",41.5
2017,"Alameda",44.5066666666667
2017,"Amador",56.68
2017,"Butte",46.5
2017,"Calaveras",104.275
2017,"Colusa",25.6
2017,"Contra Costa",45.4027777777778
2017,"Del Norte",48.5
2017,"El Dorado",45.4875
2017,"Fresno",54.9121212121212
2017,"Glenn",51.3
2017,"Humboldt",82.46
2017,"Imperial",46.6428571428571
2017,"Inyo",59.5
2017,"Kern",50.4851851851852
2017,"Kings",53.22
2017,"Lake",77.075
2017,"Lassen",52.8
2017,"Los Angeles",37.3728682170543
2017,"Madera",33.1166666666667
2017,"Marin",23.87
2017,"Mariposa",67.5
2017,"Mendocino",70.06
2017,"Merced",55.9083333333333
2017,"Modoc",146.6
2017,"Mono",36.7
2017,"Monterey",37.14
2017,"Napa",34.26
2017,"Nevada",33.64
2017,"Orange",20.9013333333333
2017,"Placer",33.9
2017,"Plumas",66.6
2017,"Riverside",38.1762711864407
2017,"Sacramento",62.4325581395349
2017,"San Benito",44.65
2017,"San Bernardino",56.5965517241379
2017,"San Diego",23.3383561643836
2017,"San Francisco",33.128
2017,"San Joaquin",65.0115384615385
2017,"San Luis Obispo",25.3090909090909
2017,"San Mateo",42.2
2017,"Santa Barbara",25.6142857142857
2017,"Santa Clara",44.4708333333333
2017,"Santa Cruz",20.4222222222222
2017,"Shasta",40.6833333333333
2017,"Siskiyou",44.25
2017,"Solano",80.6818181818182
2017,"Sonoma",35.84375
2017,"Stanislaus",49.365
2017,"Sutter",28.0666666666667
2017,"Tehama",55.3
2017,"Trinity",108.1
2017,"Tulare",36.6692307692308
2017,"Tuolumne",55.32
2017,"Ventura",32.4181818181818
2017,"Yolo",44.8125
2017,"Yuba",49.6
