"Year","County","Mean.Incidence.Children"
2013,"Alameda",100.317948717949
2013,"Amador",64.4
2013,"Butte",61
2013,"Calaveras",84.5
2013,"Colusa",75.45
2013,"Contra Costa",82.3172413793103
2013,"Del Norte",84
2013,"El Dorado",30.85
2013,"Fresno",131.726470588235
2013,"Glenn",37.1
2013,"Humboldt",67.8
2013,"Imperial",141
2013,"Inyo",73.9
2013,"Kern",87.8318181818182
2013,"Kings",109.525
2013,"Lake",95.05
2013,"Lassen",68.4
2013,"Los Angeles",81.1135964912281
2013,"Madera",107.475
2013,"Marin",41.7
2013,"Mariposa",62.5
2013,"Mendocino",69.4333333333333
2013,"Merced",112.963636363636
2013,"Monterey",84.9384615384615
2013,"Napa",55.8666666666667
2013,"Nevada",69.8
2013,"Orange",51.71
2013,"Placer",43.8857142857143
2013,"Riverside",63.6777777777778
2013,"Sacramento",86.8216216216216
2013,"San Benito",73
2013,"San Bernardino",86.8872340425532
2013,"San Diego",64.84
2013,"San Francisco",69.0611111111111
2013,"San Joaquin",83.5454545454545
2013,"San Luis Obispo",53.1714285714286
2013,"San Mateo",50.7352941176471
2013,"Santa Barbara",74.5363636363636
2013,"Santa Clara",40.8804878048781
2013,"Santa Cruz",88.075
2013,"Shasta",72.1666666666667
2013,"Siskiyou",76.6
2013,"Solano",101.47
2013,"Sonoma",53.9666666666667
2013,"Stanislaus",77.0611111111111
2013,"Sutter",26.65
2013,"Tehama",57.6
2013,"Tulare",75.5333333333333
2013,"Tuolumne",76.5
2013,"Ventura",50.2722222222222
2013,"Yolo",56.3166666666667
2013,"Yuba",45.4
2014,"Alameda",112.885
2014,"Butte",69.1142857142857
2014,"Calaveras",118.2
2014,"Colusa",63.65
2014,"Contra Costa",88.0206896551724
2014,"Del Norte",80.3
2014,"El Dorado",50.26
2014,"Fresno",148.270588235294
2014,"Glenn",57.55
2014,"Humboldt",63.08
2014,"Imperial",157.983333333333
2014,"Inyo",88.1
2014,"Kern",98.5818181818182
2014,"Kings",118.925
2014,"Lake",92.35
2014,"Lassen",80.9
2014,"Los Angeles",82.6362831858407
2014,"Madera",128.3
2014,"Marin",49.1142857142857
2014,"Mendocino",83.3666666666667
2014,"Merced",118.845454545455
2014,"Monterey",82.9384615384615
2014,"Napa",66.0666666666667
2014,"Nevada",40
2014,"Orange",53.7585714285714
2014,"Placer",41.6666666666667
2014,"Riverside",65.7679245283019
2014,"Sacramento",95.9361111111111
2014,"San Benito",75.1
2014,"San Bernardino",90.2162790697674
2014,"San Diego",60.92
2014,"San Francisco",77.8944444444444
2014,"San Joaquin",89.5090909090909
2014,"San Luis Obispo",61.325
2014,"San Mateo",54.1722222222222
2014,"Santa Barbara",70.8166666666667
2014,"Santa Clara",42.6710526315789
2014,"Santa Cruz",85.68
2014,"Shasta",84.15
2014,"Siskiyou",87.8
2014,"Solano",112.36
2014,"Sonoma",54.5642857142857
2014,"Stanislaus",90.3833333333333
2014,"Sutter",53.7333333333333
2014,"Tehama",81.05
2014,"Tulare",76.3866666666667
2014,"Tuolumne",89.7
2014,"Ventura",57.0421052631579
2014,"Yolo",59.3285714285714
2014,"Yuba",40.1
2015,"Alameda",104.176315789474
2015,"Butte",70.775
2015,"Colusa",77.5
2015,"Contra Costa",81.9111111111111
2015,"Del Norte",92.2
2015,"El Dorado",33.8666666666667
2015,"Fresno",153.247058823529
2015,"Glenn",51
2015,"Humboldt",61.34
2015,"Imperial",142.95
2015,"Inyo",82
2015,"Kern",103.773913043478
2015,"Kings",127
2015,"Lake",90.5
2015,"Lassen",63
2015,"Los Angeles",82.317903930131
2015,"Madera",112.65
2015,"Marin",37.6833333333333
2015,"Mendocino",78.2333333333333
2015,"Merced",128.545454545455
2015,"Mono",76.4
2015,"Monterey",92.175
2015,"Napa",68.4333333333333
2015,"Nevada",88.1
2015,"Orange",58.2157142857143
2015,"Placer",44.1222222222222
2015,"Riverside",66.7711538461539
2015,"Sacramento",97.2432432432432
2015,"San Benito",73.4
2015,"San Bernardino",86.9244444444444
2015,"San Diego",62.6101449275362
2015,"San Francisco",73.8722222222222
2015,"San Joaquin",95.7181818181818
2015,"San Luis Obispo",72.1
2015,"San Mateo",55.38125
2015,"Santa Barbara",68.2833333333333
2015,"Santa Clara",43.6878048780488
2015,"Santa Cruz",59.75
2015,"Shasta",73.7
2015,"Solano",109.266666666667
2015,"Sonoma",53.45
2015,"Stanislaus",82.7444444444444
2015,"Sutter",44.2
2015,"Tehama",96.3
2015,"Tulare",85.5875
2015,"Tuolumne",49
2015,"Ventura",60.9736842105263
2015,"Yolo",61.4714285714286
2015,"Yuba",63.9
2016,"Alameda",103.41
2016,"Amador",94.1
2016,"Butte",51.5142857142857
2016,"Calaveras",54
2016,"Contra Costa",81.4925925925926
2016,"Del Norte",135.7
2016,"El Dorado",43.1333333333333
2016,"Fresno",149.335135135135
2016,"Glenn",67.3
2016,"Humboldt",104.033333333333
2016,"Imperial",172.2875
2016,"Inyo",104.3
2016,"Kern",88.5333333333333
2016,"Kings",160.14
2016,"Lake",89.3666666666667
2016,"Lassen",51.7
2016,"Los Angeles",81.417316017316
2016,"Madera",122.883333333333
2016,"Marin",45.5833333333333
2016,"Mariposa",87.4
2016,"Mendocino",69.3666666666667
2016,"Merced",136.358333333333
2016,"Modoc",139.9
2016,"Mono",65.9
2016,"Monterey",66.7769230769231
2016,"Napa",51.3333333333333
2016,"Nevada",46.55
2016,"Orange",51.719696969697
2016,"Placer",42.5375
2016,"Plumas",187.2
2016,"Riverside",66.1716981132075
2016,"Sacramento",85.5578947368421
2016,"San Benito",76.9
2016,"San Bernardino",88.1836734693878
2016,"San Diego",54.8442857142857
2016,"San Francisco",78.25
2016,"San Joaquin",82.8047619047619
2016,"San Luis Obispo",70.4444444444444
2016,"San Mateo",49.1411764705882
2016,"Santa Barbara",77.97
2016,"Santa Clara",36.774358974359
2016,"Santa Cruz",52.92
2016,"Shasta",65.12
2016,"Siskiyou",54.5
2016,"Solano",109.1
2016,"Sonoma",50.8416666666667
2016,"Stanislaus",71.0777777777778
2016,"Sutter",52.8666666666667
2016,"Tehama",97.6333333333333
2016,"Tulare",69.96875
2016,"Tuolumne",72.7
2016,"Ventura",54.9666666666667
2016,"Yolo",62.1571428571429
2016,"Yuba",44.6
2017,"Alameda",96.2219512195122
2017,"Amador",68
2017,"Butte",66.5
2017,"Calaveras",60.7
2017,"Colusa",107.3
2017,"Contra Costa",77.8607142857143
2017,"Del Norte",95.5
2017,"El Dorado",38.1
2017,"Fresno",156.640540540541
2017,"Glenn",35.4
2017,"Humboldt",71.34
2017,"Imperial",167.7625
2017,"Inyo",93.8
2017,"Kern",89.5304347826087
2017,"Kings",148.25
2017,"Lake",134
2017,"Lassen",52.2
2017,"Los Angeles",76.1753246753247
2017,"Madera",120.083333333333
2017,"Marin",37.58
2017,"Mendocino",213.825
2017,"Merced",126.290909090909
2017,"Modoc",152.2
2017,"Monterey",87.7
2017,"Napa",53.0333333333333
2017,"Nevada",53.6
2017,"Orange",49.8942028985507
2017,"Placer",48.1444444444444
2017,"Plumas",248.15
2017,"Riverside",65.8333333333333
2017,"Sacramento",91.2421052631579
2017,"San Benito",88.1
2017,"San Bernardino",78.9224489795918
2017,"San Diego",57.4449275362319
2017,"San Francisco",81.3
2017,"San Joaquin",85.4260869565217
2017,"San Luis Obispo",62.7444444444444
2017,"San Mateo",48.3352941176471
2017,"Santa Barbara",65.7444444444444
2017,"Santa Clara",40.9275
2017,"Santa Cruz",50.86
2017,"Shasta",66.1666666666667
2017,"Siskiyou",65.1
2017,"Solano",115.863636363636
2017,"Sonoma",55.6583333333333
2017,"Stanislaus",75.3111111111111
2017,"Sutter",54.3666666666667
2017,"Tehama",113.55
2017,"Tulare",68.44375
2017,"Tuolumne",82
2017,"Ventura",50.5277777777778
2017,"Yolo",67.1428571428571
2017,"Yuba",56.55
